,Annotation
group04528,hypothetical protein
group04529,None Provided
group04530,None Provided
group04531,None Provided
group04532,None Provided
group04533,None Provided
group04534,Adenosylhomocysteinase (EC 3.3.1.1)
group04535,None Provided
group04536,UV damage repair endonuclease
group04537,None Provided
group04538,None Provided
group04539,None Provided
group04540,hypothetical protein
group04541,None Provided
group04542,hypothetical protein
group04543,None Provided
group04544,None Provided
group04545,None Provided
group04546,None Provided
group04547,None Provided
group04548,None Provided
group04549,None Provided
group04550,None Provided
group04551,hypothetical protein
group04552,hypothetical protein
group04553,None Provided
group04554,None Provided
group04555,hypothetical protein
group04556,None Provided
group04557,None Provided
group04558,None Provided
group04559,hypothetical protein
group04560,None Provided
group04561,FIG032766: hypothetical protein
group04562,Mobile element protein
group04563,None Provided
group04564,DNA repair protein RadC
group04565,Rhs family protein
group04566,hypothetical protein
group04567,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
group04568,None Provided
group04569,hypothetical protein
group04570,None Provided
group04571,None Provided
group04572,None Provided
group04573,None Provided
group04574,None Provided
group04575,None Provided
group04576,None Provided
group04577,None Provided
group04578,None Provided
group04579,None Provided
group04580,hypothetical protein
group04581,hypothetical protein
group04582,None Provided
group04583,None Provided
group04584,hypothetical protein
group04585,Outer membrane lipoprotein-sorting protein
group04586,None Provided
group04587,None Provided
group04588,None Provided
group04589,None Provided
group04590,None Provided
group04591,None Provided
group04592,hypothetical protein
group04593,hypothetical protein
group04594,None Provided
group04595,None Provided
group04596,None Provided
group04597,None Provided
group04598,None Provided
group04599,None Provided
group04600,None Provided
group04601,None Provided
group04602,None Provided
group04603,None Provided
group04604,hypothetical protein
group04605,Mobile element protein
group04606,None Provided
group04607,None Provided
group04608,None Provided
group04609,None Provided
group04610,None Provided
group04611,hypothetical protein
group04612,None Provided
group04613,None Provided
group04614,None Provided
group04615,None Provided
group04616,None Provided
group04617,Mobile element protein
group04618,None Provided
group04619,None Provided
group04620,None Provided
group04621,None Provided
group04622,None Provided
group04623,hypothetical protein
group04624,None Provided
group04625,hypothetical protein
group04626,None Provided
group04627,None Provided
group04628,None Provided
group04629,None Provided
group04630,None Provided
group04631,None Provided
group04632,hypothetical protein
group04633,None Provided
group04634,hypothetical protein
group04635,Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
group04636,hypothetical protein
group04637,2-hydroxychromene-2-carboxylate isomerase
group04638,"Gentisate 1,2-dioxygenase (EC 1.13.11.4)"
group04639,Outer membrane protein (porin)
group04640,Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
group04641,hypothetical protein
group04642,hypothetical protein
group04643,None Provided
group04644,None Provided
group04645,None Provided
group04646,None Provided
group04647,hypothetical protein
group04648,None Provided
group04649,None Provided
group04650,None Provided
group04651,None Provided
group04652,None Provided
group04653,Essential recombination function protein
group04654,None Provided
group04655,None Provided
group04656,None Provided
group04657,None Provided
group04658,None Provided
group04659,None Provided
group04660,None Provided
group04661,None Provided
group04662,hypothetical protein
group04663,None Provided
group04664,None Provided
group04665,Putative activity regulator of membrane protease YbbK
group04666,hypothetical protein
group04667,Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)
group04668,hypothetical protein
group04669,None Provided
group04670,None Provided
group04671,hypothetical protein
group04672,None Provided
group04673,hypothetical protein
group04674,hypothetical protein
group04675,hypothetical protein
group04676,hypothetical protein
group04677,hypothetical protein
group04678,None Provided
group04679,hypothetical protein
group04680,Mobile element protein
group04681,Mobile element protein
group04682,None Provided
group04683,None Provided
group04684,None Provided
group04685,None Provided
group04686,None Provided
group04687,None Provided
group04688,None Provided
group04689,Menaquinone-specific isochorismate synthase (EC 5.4.4.2)
group04690,None Provided
group04691,Adenylosuccinate lyase (EC 4.3.2.2)
group04692,Transketolase (EC 2.2.1.1)
group04693,None Provided
group04694,None Provided
group04695,Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
group04696,None Provided
group04697,None Provided
group04698,None Provided
group04699,None Provided
group04700,None Provided
group04701,None Provided
group04702,None Provided
group04703,None Provided
group04704,Phytoene dehydrogenase (EC 1.14.99.-)
group04705,hypothetical protein
group04706,None Provided
group04707,None Provided
group04708,hypothetical protein
group04709,hypothetical protein
group04710,None Provided
group04711,hypothetical protein
group04712,None Provided
group04713,Sarcosine oxidase beta subunit (EC 1.5.3.1)
group04714,None Provided
group04715,None Provided
group04716,Pyruvate kinase (EC 2.7.1.40)
group04717,None Provided
group04718,None Provided
group04719,None Provided
group04720,SOS-response repressor and protease LexA (EC 3.4.21.88)
group04721,None Provided
group04722,None Provided
group04723,"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"
group04724,None Provided
group04725,None Provided
group04726,None Provided
group04727,None Provided
group04728,None Provided
group04729,hypothetical protein
group04730,Rod shape-determining protein MreB
group04731,None Provided
group04732,hypothetical protein
group04733,hypothetical protein
group04734,None Provided
group04735,None Provided
group04736,None Provided
group04737,Epi-inositol hydrolase (EC 3.7.1.-)
group04738,Succinyl-CoA ligase ADP-forming beta chain (EC 6.2.1.5)
group04739,hypothetical protein
group04740,None Provided
group04741,None Provided
group04742,None Provided
group04743,Ornithine carbamoyltransferase (EC 2.1.3.3)
group04744,None Provided
group04745,None Provided
group04746,None Provided
group04747,None Provided
group04748,NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)
group04749,Replicative DNA helicase (DnaB) (EC 3.6.4.12)
group04750,hypothetical protein
group04751,None Provided
group04752,None Provided
group04753,None Provided
group04754,None Provided
group04755,None Provided
group04756,None Provided
group04757,None Provided
group04758,hypothetical protein
group04759,None Provided
group04760,hypothetical protein
group04761,Succinyl-CoA ligase ADP-forming alpha chain (EC 6.2.1.5)
group04762,hypothetical protein
group04763,hypothetical protein
group04764,Excinuclease ABC subunit C
group04765,None Provided
group04766,None Provided
group04767,None Provided
group04768,None Provided
group04769,None Provided
group04770,None Provided
group04771,None Provided
group04772,hypothetical protein
group04773,CTP synthase (EC 6.3.4.2)
group04774,None Provided
group04775,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent"
group04776,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
group04777,None Provided
group04778,None Provided
group04779,LSU ribosomal protein L24p (L26e)
group04780,None Provided
group04781,hypothetical protein
group04782,Transcription-repair coupling factor
group04783,None Provided
group04784,None Provided
group04785,None Provided
group04786,Predicted L-rhamnose isomerase RhaI (EC 5.3.1.14)
group04787,4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
group04788,None Provided
group04789,Iron-sulphur-binding reductase
group04790,None Provided
group04791,Putative deoxyribonuclease YcfH
group04792,None Provided
group04793,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)
group04794,None Provided
group04795,Exopolyphosphatase (EC 3.6.1.11)
group04796,Heat shock protein 60 family chaperone GroEL
group04797,None Provided
group04798,None Provided
group04799,None Provided
group04800,Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)
group04801,Enolase (EC 4.2.1.11)
group04802,Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
group04803,None Provided
group04804,None Provided
group04805,None Provided
group04806,None Provided
group04807,Polyphosphate kinase (EC 2.7.4.1)
group04808,None Provided
group04809,None Provided
group04810,S-adenosylmethionine synthetase (EC 2.5.1.6)
group04811,hypothetical protein
group04812,None Provided
group04813,None Provided
group04814,None Provided
group04815,None Provided
group04816,hypothetical protein
group04817,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)
group04818,Triosephosphate isomerase (EC 5.3.1.1)
group04819,None Provided
group04820,None Provided
group04821,None Provided
group04822,None Provided
group04823,hypothetical protein
group04824,None Provided
group04825,None Provided
group04826,None Provided
group04827,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
group04828,None Provided
group04829,DNA gyrase subunit A (EC 5.99.1.3)
group04830,None Provided
group04831,None Provided
group04832,"(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)"
group04833,None Provided
group04834,None Provided
group04835,None Provided
group04836,None Provided
group04837,None Provided
group04838,None Provided
group04839,None Provided
group04840,None Provided
group04841,dextranase precursor
group04842,Glucoamylase (EC 3.2.1.3)
group04843,None Provided
group04844,None Provided
group04845,None Provided
group04846,None Provided
group04847,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)
group04848,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
group04849,LSU ribosomal protein L11p (L12e)
group04850,hypothetical protein
group04851,Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)
group04852,None Provided
group04853,None Provided
group04854,None Provided
group04855,2-isopropylmalate synthase (EC 2.3.3.13)
group04856,hypothetical protein
group04857,Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
group04858,None Provided
group04859,None Provided
group04860,None Provided
group04861,None Provided
group04862,hypothetical protein
group04863,None Provided
group04864,None Provided
group04865,Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)
group04866,Vitamin K epoxide reductase
group04867,hypothetical protein
group04868,hypothetical protein
group04869,None Provided
group04870,hypothetical protein
group04871,None Provided
group04872,Thymidine kinase (EC 2.7.1.21)
group04873,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)
group04874,None Provided
group04875,hypothetical protein
group04876,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
group04877,None Provided
group04878,None Provided
group04879,hypothetical protein
group04880,None Provided
group04881,None Provided
group04882,None Provided
group04883,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
group04884,LSU ribosomal protein L9p
